item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
13. Chi trả cho hoạt động ủy thác đầu tư của khách hàng,n_13.payment_for_the_clients_investment_trust_activities,,,,
14. Chi trả phí lưu ký chứng khoán của khách hàng,n_14.payment_of_customers_securities_depository_fees,-17758784.0,-17209579.0,-17353983.0,-20168783.0
15. Thu lỗi giao dịch chứng khoán,n_15.collecting_securities_transaction_errors,,,,
16. Chi lỗi giao dịch chứng khoán,n_16.payment_of_securities_transaction_errors,,,,
17. Tiền thu của Tổ chức phát hành chứng khoán,n_17.proceeds_from_securities_issuers,,,,
18. Tiền chi trả Tổ chức phát hành chứng khoán,n_18.payments_to_securities_issuers,,,,
"19. Tiền thu khác từ hoạt động môi giới, ủy thác của khách hàng",n_19.other_proceeds_from_brokerage_and_trust_activities_of_customers,,,,
"20. Tiền chi khác từ hoạt động môi giới, ủy thác của khách hàng",n_20.other_payments_from_brokerage_and_trust_activities_of_customers,,,,
Tăng/giảm tiền thuần trong kỳ,increase_decrease_of_net_money_during_the_period,297891494.0,-60786545.0,557302634.0,-920592019.0
II. Tiền và các khoản tương đương tiền đầu kỳ của khách hàng,ii.cash_and_cash_equivalents_at_the_beginning_of_the_period_of_the_customer,2711953188.0,2772739733.0,2215437099.0,3136029119.0
Tiền gửi ngân hàng đầu kỳ:,cash_at_bank_3,2711953188.0,2772739733.0,2215437099.0,3136029119.0
-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,deposits_of_investors_on_securities_transactions_under_the_securities_company_management_method,1527458245.0,1824604522.0,1630139522.0,1427063444.0
Trong đó có kỳ hạn,including_term,,,,
-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức Ngân hàng thương mại quản lý,deposits_of_investors_in_securities_transactions_under_the_method_managed_by_commercial_banks,,,,
Trong đó có kỳ hạn,including_term_2,,,,
-Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,cash_deposit_for_securities_transactions_for_customers,,,,
-Tiền gửi bù trừ và thanh toán giao dịch chứng khoán,securities_clearing_and_settlement_deposits,1184494943.0,948135212.0,585297577.0,1708965674.0
-Tiền gửi của tổ chức phát hành,deposits_from_issuing_organizations,,,,
Trong đó có kỳ hạn,including_term_3,,,,
Các khoản tương đương tiền,cash_equivalents_3,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,exchange_difference_due_to_re_valuation_of_ending_balances_4,,,,
III. Tiền và các khoản tương đương tiền cuối kỳ của khách hàng,iii.cash_and_cash_equivalents_at_the_end_of_the_period_of_the_customer,3009844682.0,2711953188.0,2772739733.0,2215437099.0
Tiền gửi ngân hàng cuối kỳ:,cash_at_bank_4,3009844682.0,2711953188.0,2772739733.0,2215437099.0
-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,deposits_of_investors_on_securities_transactions_under_the_securities_company_management_method_2,2289186672.0,1527458245.0,1824604522.0,1630139522.0
Trong đó có kỳ hạn,including_term_4,,,,
-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức Ngân hàng thương mại quản lý,deposits_of_investors_in_securities_transactions_under_the_method_managed_by_commercial_banks_2,,,,
Trong đó có kỳ hạn,including_term_5,,,,
-Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,cash_deposit_for_securities_transactions_for_customers_2,,,,
-Tiền gửi bù trừ và thanh toán giao dịch chứng khoán,securities_clearing_and_settlement_deposits_2,720658010.0,1184494943.0,948135212.0,585297577.0
-Tiền gửi của tổ chức phát hành,deposits_from_issuing_organizations_2,,,,
Trong đó có kỳ hạn,including_term_6,,,,
Các khoản tương đương tiền,cash_equivalents_4,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,exchange_difference_due_to_re_valuation_of_ending_balances_5,,,,
