symbol,organ_name
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
VCF,CTCP Vinacafé Biên Hòa
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
TID,CTCP Tổng Công ty Tín Nghĩa
DTP,CTCP Dược phẩm CPC1 Hà Nội
ASM,CTCP Tập đoàn Sao Mai
VTD,CTCP Vietourist Holdings
VIC,Tập đoàn VINGROUP - CTCP
VES,CTCP Đầu tư và Xây dựng Điện Mê Ca Vneco
SBV,CTCP Siam Brothers Việt Nam
HUB,CTCP Xây lắp Thừa Thiên Huế
VCI,CTCP Chứng khoán Vietcap
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
SRA,CTCP Sara Việt Nam
OGC,CTCP Tập đoàn Đại Dương
DNN,CTCP Cấp nước Đà Nẵng
C47,CTCP Xây dựng 47
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng
FBC,CTCP Cơ khí Phổ Yên
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
NTC,CTCP Khu Công nghiệp Nam Tân Uyên
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
CCP,CTCP Cảng Cửa Cấm Hải Phòng
DWC,CTCP Cấp nước Đắk Lắk
AME,CTCP Alphanam E&C
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
BHG,CTCP Chè Biển Hồ
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
DTH,CTCP Dược - Vật tư Y Tế Thanh Hóa
TKU,CTCP Công nghiệp Tung Kuang
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
XHC,CTCP Xuân Hòa Việt Nam
VE2,CTCP Xây dựng Điện VNECO 2
VJC,CTCP Hàng không Vietjet
VPI,CTCP Phát triển Bất động sản Văn Phú
FOX,CTCP Viễn thông FPT
LGC,CTCP Đầu tư Cầu đường CII
NAG,CTCP Tập đoàn Nagakawa
SGH,CTCP Khách sạn Sài Gòn
HT1,CTCP Xi Măng Vicem Hà Tiên
HCI,CTCP Đầu tư Xây dựng Hà Nội 
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
TRV,CTCP Vận tải Đường sắt
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
C32,CTCP Đầu tư và Xây dựng 3-2
CKV,CTCP COKYVINA
NTW,CTCP Cấp nước Nhơn Trạch
FTS,CTCP Chứng khoán FPT
VDP,CTCP Dược phẩm Trung ương VIDIPHA
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
VPX,CTCP Chứng khoán VPBank
TLG,CTCP Tập đoàn Thiên Long
CTW,CTCP Cấp thoát nước Cần Thơ
IDJ,CTCP Đầu tư IDJ Việt Nam
SGS,CTCP Vận tải biển Sài Gòn
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
G36,Tổng Công ty 36 - CTCP
HRB,CTCP Harec Đầu tư và Thương mại
TEG,CTCP Trường Thành Energy Group
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng
VNA,CTCP Vận tải Biển Vinaship
HUT,CTCP Tasco
ALT,CTCP Văn hóa Tân Bình
KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
BSI,CTCP Chứng khoán BIDV
DNM,Tổng Công ty cổ phần Y tế DANAMECO
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
SD4,CTCP Sông Đà 4
CNC,CTCP Công nghệ Cao Traphaco
PGC,Tổng Công ty Gas Petrolimex - CTCP
NAS,CTCP Dịch vụ Hàng không Sân bay Việt Nam
V21,CTCP Vinaconex 21
CH5,CTCP Xây dựng Số 5 Hà Nội
PND,CTCP Xăng dầu Dầu khí Nam Định
MAC,CTCP Tập đoàn Macstar
HJC,CTCP Hòa Việt
TCJ,CTCP Tô Châu
PVG,CTCP Kinh doanh LPG Việt Nam
TA6,CTCP Đầu tư và Xây lắp Thành An 665
THP,CTCP Thủy sản và Thương mại Thuận Phước
ITC,CTCP Đầu tư và Kinh doanh Nhà
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc
TCB,Ngân hàng TMCP Kỹ thương Việt Nam
BTV,CTCP Dịch vụ Du lịch Bến Thành
LUT,CTCP Đầu tư Xây dựng Lương Tài
ICC,CTCP Xây dựng Công nghiệp (ICC)
BTS,CTCP Xi măng VICEM Bút Sơn
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
VND,CTCP Chứng khoán VNDIRECT
ABC,CTCP Truyền thông VMG
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
SJM,CTCP Sunspace Holdings
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
DDM,CTCP Hàng Hải Đông Đô
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
D2D,CTCP Phát triển Đô thị Công nghiệp số 2
BQP,CTCP Nhựa Chất lượng cao Bình Thuận
AAM,CTCP Thủy sản MeKong
VXP,CTCP Thuốc Thú y Trung ương VETVACO
HU4,CTCP Đầu tư và Xây dựng HUD4
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
VFR,CTCP Vận tải và Thuê tàu
VC7,CTCP Tập đoàn BGI
DVG,CTCP Đại Việt Group DVG
S99,CTCP SCI
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ
NAP,CTCP Cảng Nghệ Tĩnh
HNF,CTCP Thực phẩm Hữu Nghị
ITD,CTCP Công nghệ ITD
PMJ,CTCP Vật tư Bưu Điện
INC,CTCP Tư vấn Đầu tư IDICO
MED,CTCP Dược Trung ương Mediplantex
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
NHT,CTCP Sản xuất và Thương mại Nam Hoa
VWS,CTCP Nước và Môi Trường Việt Nam
MES,CTCP Cơ điện Công trình
VGR,CTCP Cảng Xanh Vip
BIG,CTCP Đầu tư Big Group Holdings
PDC,CTCP Du lịch Dầu khí Phương Đông
PIA,CTCP Tin học Viễn thông Petrolimex
TPB,Ngân hàng TMCP Tiên Phong
PHS,CTCP Chứng khoán Phú Hưng
VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam
LPB,Ngân hàng TMCP Lộc Phát Việt Nam
SGB,Ngân hàng TMCP Sài Gòn Công Thương
TCD,CTCP Tập đoàn Xây dựng TRACODI
VTE,CTCP VINACAP Kim Long
THT,CTCP Than Hà Tu - Vinacomin
SCD,CTCP Nước giải khát Chương Dương
POT,CTCP Thiết bị Bưu điện
SKV,CTCP Nước giải khát Yến sào Khánh Hòa
SHI,CTCP Quốc tế Sơn Hà
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
VFG,CTCP Khử trùng Việt Nam
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex
TCW,CTCP Kho Vận Tân Cảng
VGG,Tổng Công ty cổ phần May Việt Tiến
OIL,Tổng Công ty Dầu Việt Nam - CTCP
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
PDB,CTCP Tập đoàn Đầu tư Din Capital
DLD,CTCP Du lịch Đắk Lắk
F88,CTCP Đầu tư F88
DAN,CTCP Dược Danapha
VRE,CTCP Vincom Retail
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
BCA,CTCP B.C.H
HFC,CTCP Xăng dầu HFC
PAS,CTCP Quốc tế Phương Anh
VNG,CTCP Du lịch Thành Thành Công
DCF,CTCP Xây dựng và Thiết kế Số 1
AVC,CTCP Thủy điện A Vương
WSS,CTCP Chứng khoán Phố Wall
TV2,CTCP Tư vấn Xây dựng Điện 2
MNB,Tổng Công ty May Nhà Bè - CTCP
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
VPS,CTCP Thuốc sát trùng Việt Nam 
SDT,CTCP Sông Đà 10
NFC,CTCP Phân lân Ninh Bình
SRB,CTCP Tập đoàn Sara
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
MWG,CTCP Đầu tư Thế giới Di động
BCP,CTCP Dược ENLIE
PCF,CTCP Cà phê PETEC
KSV,Tổng Công ty Khoáng sản TKV - CTCP
PIV,CTCP PIV
INN,CTCP Bao bì và In Nông nghiệp
NNC,CTCP Đá Núi Nhỏ
NHH,CTCP Nhựa Hà Nội
TQN,CTCP Thông Quảng Ninh
GGG,CTCP Ô tô Giải Phóng
TMP,CTCP Thủy điện Thác Mơ
CSM,CTCP Công nghiệp Cao su Miền Nam
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
GPC,CTCP Tập đoàn Green+
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
UPS,CTCP Chứng khoán UP
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
STG,CTCP Kho vận Miền Nam
DMS,CTCP Hóa phẩm Dầu khí DMC - Miền Nam
L35,CTCP Cơ khí Lắp máy Lilama
DNT,CTCP Du lịch Đồng Nai
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
SBA,CTCP Sông Ba
ANV,CTCP Nam Việt
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
ADG,CTCP Clever Group
EGL,CTCP Môi trường Đô thị Gia Lâm
MTG,CTCP MT Gas
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận
NAF,CTCP Nafoods Group
SMA,CTCP Thiết bị Phụ tùng Sài Gòn
FDC,CTCP Ngoại thương và  Phát triển Đầu tư Thành phố Hồ Chí Minh
TRS,CTCP Vận tải và Dịch vụ Hàng hải
TSA,CTCP Đầu tư và Xây lắp Trường Sơn
VNZ,CTCP Tập đoàn VNG 
ADS,CTCP Damsan
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
AIG,CTCP Nguyên liệu Á Châu AIG
BBH,CTCP Bao bì Hoàng Thạch
CC1,Tổng Công ty Xây dựng Số 1 - CTCP
S4A,CTCP Thủy điện Sê San 4A
HC1,CTCP Xây dựng Số 1 Hà Nội
SIG,CTCP Đầu tư và Thương mại Sông Đà
VCB,Ngân hàng TMCP Ngoại thương Việt Nam
DHD,CTCP Dược Vật tư Y tế Hải Dương
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
QCG,CTCP Quốc Cường Gia Lai
SDD,CTCP Đầu tư và Xây lắp Sông Đà
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
IRC,CTCP Cao su Công nghiệp
VTV,CTCP Năng lượng và Môi trường VICEM
ACM,CTCP Tập đoàn Khoáng sản Á Cường
RCC,CTCP Tổng Công ty Công trình Đường sắt Việt Nam
PGS,CTCP Kinh doanh Khí Miền Nam
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
PLO,CTCP Kho Vận Petec
VHM,CTCP Vinhomes
CTR,Tổng Công ty cổ phần Công trình Viettel
VCX,CTCP Xi măng Yên Bình
TDC,CTCP Kinh doanh và Phát triển Bình Dương
TBW,CTCP Nước sạch Thái Bình
FCS,CTCP Lương thực Thành phố Hồ Chí Minh
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội
KMR,CTCP Mirae
VAV,CTCP VIWACO
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
TTD,CTCP Bệnh viện tim Tâm Đức
AST,CTCP Dịch vụ Hàng không Taseco
HU1,CTCP Đầu tư và Xây dựng HUD1
KIP,CTCP K.I.P Việt Nam
TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
UTT,CTCP Môi trường Đô thị Thanh Trì
HVH,CTCP Đầu tư và Công nghệ HVC
NVP,CTCP Nước sạch Vĩnh Phúc
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
PVH,CTCP Xây lắp Dầu khí Thanh Hóa
HHC,CTCP Bánh kẹo Hải Hà 
GEE,CTCP Điện lực Gelex
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI
CRE,CTCP Bất động sản Thế Kỷ
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
HNA,CTCP Thủy điện Hủa Na
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
V12,CTCP Xây dựng Số 12
VIX,CTCP Chứng khoán VIX
KPF,CTCP Đầu tư tài sản Koji
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp
CKD,CTCP Cơ khí Đông Anh LICOGI
MZG,CTCP Miza
SHP,CTCP Thủy điện Miền Nam
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP
SZG,CTCP Sonadezi Giang Điền
VST,CTCP Vận tải và Thuê tàu biển Việt Nam
VNM,CTCP Sữa Việt Nam
LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
DHT,CTCP Dược phẩm Hà Tây
ABB,Ngân hàng TMCP An Bình
SBT,CTCP Thành Thành Công - Biên Hòa
ILC,CTCP Hợp tác Lao động với nước ngoài
AAV,CTCP AAV Group
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
HTV,CTCP Logistics Vicem
SJ1,CTCP Nông nghiệp Hùng Hậu
C4G,CTCP Tập đoàn CIENCO4
AMP,CTCP Armephaco
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL
BXH,CTCP VICEM Bao bì Hải Phòng
RTB,CTCP Cao su Tân Biên
SZL,CTCP Sonadezi Long Thành
GAS,Tổng Công ty Khí Việt Nam - CTCP
SRF,CTCP SEAREFICO
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
NCS,CTCP Suất ăn Hàng không Nội Bài
EVS,CTCP Chứng khoán EVS
RGG,CTCP Regal Group
UPH,CTCP Dược phẩm TW 25
HTT,CTCP Thương mại Hà Tây
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
HEP,CTCP Môi trường và Công trình Đô thị Huế
TCR,CTCP Công nghiệp Gốm sứ Taicera
RCD,CTCP  Xây dựng - Địa ốc Cao su
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
BHP,CTCP Bia Hà Nội - Hải Phòng
KTS,CTCP Đường Kon Tum
DVN,Tổng Công ty Dược Việt Nam - CTCP
VFS,CTCP Chứng khoán Nhất Việt
VET,CTCP Thuốc thú y Trung ương Navetco
WCS,CTCP Bến xe Miền Tây
BTT,CTCP Thương mại Dịch vụ Bến Thành
CPC,CTCP Thuốc sát trùng Cần Thơ
HCC,CTCP Bê tông Hòa Cầm - Intimex
YEG,CTCP Tập đoàn Yeah1
SBM,CTCP Đầu tư Phát triển Bắc Minh
VMK,CTCP Vimarko
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
HKT,CTCP Đầu tư QP Xanh
VAB,Ngân hàng TMCP Việt Á
MFS,CTCP Dịch vụ Kỹ thuật Mobifone
MBB,Ngân hàng TMCP Quân đội
CMI,CTCP CMISTONE Việt Nam
TOS,CTCP Dịch vụ biển Tân Cảng
VTP,Tổng Công ty cổ phần Bưu chính Viettel
IN4,CTCP In Số 4
DSD,CTCP DHC Suối Đôi
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
VDL,CTCP Thực phẩm Lâm Đồng
HBH,CTCP Habeco - Hải Phòng
SVG,CTCP Hơi Kỹ nghệ Que hàn
CK8,CTCP Cơ khí 120
SZC,CTCP Sonadezi Châu Đức
BBS,CTCP VICEM Bao bì Bút Sơn
HBS,CTCP Chứng khoán Hòa Bình
VTB,CTCP Viettronics Tân Bình
SLS,CTCP Mía Đường Sơn La
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
LNC,CTCP Lệ Ninh
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
DL1,CTCP Tập đoàn Alpha Seven
CMM,CTCP Camimex
TNI,CTCP Tập đoàn Thành Nam
DPR,CTCP Cao su Đồng Phú
GCF,CTCP Thực phẩm G.C
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
GTD,CTCP Giầy Thượng Đình
KDM,CTCP Tập Đoàn GCL
TVC,CTCP Tập đoàn Quản lý tài sản T-Corp
VTS,CTCP Gạch ngói Từ Sơn
DCG,CTCP Tổng Công ty May Đáp Cầu
BTD,CTCP Bê tông Ly tâm Thủ Đức
TDB,CTCP Thủy điện Định Bình
HD2,CTCP Đầu tư Phát triển Nhà HUD2
HDA,CTCP Hãng sơn Đông Á
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
YBC,CTCP Xi măng và Khoáng sản Yên Bái
HTC,CTCP Thương mại Hóc Môn
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
DAG,CTCP Tập đoàn Nhựa Đông Á
APH,CTCP Tập đoàn An Phát Holdings
L18,CTCP Đầu tư và Xây dựng Số 18
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
TCO,CTCP Janus Group
VNX,CTCP Quảng cáo và Hội chợ Thương mại
PPT,CTCP Petro Times
DSH,CTCP Đầu tư Hạ tầng Đông Sơn
DP2,CTCP Dược phẩm Trung ương 2
HAH,CTCP Vận tải và Xếp dỡ Hải An
LCG,CTCP Lizen
PBC,CTCP Dược phẩm Trung ương I - Pharbaco
HHG,CTCP Hoàng Hà
LIC,Tổng Công ty LICOGI - CTCP
PGT,CTCP PGT Holdings
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
CTB,CTCP Chế tạo Bơm Hải Dương
SCG,CTCP Tập đoàn Xây dựng SCG
C21,CTCP Thế Kỷ 21 
KTC,CTCP Thương mại Kiên Giang
VPH,CTCP Vạn Phát Hưng
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
VTO,CTCP Vận tải Xăng dầu Vitaco
CMV,CTCP Thương nghiệp Cà Mau
VC1,CTCP Xây dựng Số 1
AAH,CTCP Hợp Nhất
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc
KHW,CTCP Cấp thoát nước Khánh Hòa
PVP,CTCP Vận tải Dầu khí Thái Bình Dương
TDF,CTCP Trung Đô
VNT,CTCP Giao nhận Vận tải Ngoại thương
VPA,CTCP Vận tải Hoá Dầu VP
CDN,CTCP Cảng Đà Nẵng
UCT,CTCP Đô thị Cần Thơ
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
VNY,CTCP Thuốc thú y Trung ương I
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP
THB,CTCP Bia Hà Nội - Thanh Hóa
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
DXG,CTCP Tập đoàn Đất Xanh
TTL,Tổng Công ty Thăng Long - CTCP
REE,CTCP Cơ Điện Lạnh
VTR,CTCP Du lịch Vietravel
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
SCC,CTCP Thương mại Đầu tư SHB
DBC,CTCP Tập đoàn Dabaco Việt Nam
CMS,CTCP Tập Đoàn CMH Việt Nam
IHK,CTCP In Hàng Không
CMW,CTCP Cấp nước Cà Mau
NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum
AGR,CTCP Chứng khoán Agribank
DTL,CTCP Đại Thiên Lộc
HVX,CTCP Xi măng VICEM Hải Vân
VIG,CTCP Chứng khoán Đầu tư tài chính Việt Nam
IME,CTCP Cơ khí và Xây lắp Công nghiệp
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
DLG,CTCP Tập đoàn Đức Long Gia Lai
AAS,CTCP Chứng khoán SmartInvest 
DTC,CTCP Viglacera Đông Triều
ONW,CTCP Dịch vụ Một Thế Giới
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình
CVN,CTCP Vinam
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
VC6,CTCP Xây dựng và Đầu tư Visicons
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
PPY,CTCP Xăng dầu Dầu khí Phú Yên
VDT,CTCP Lưới thép Bình Tây
ORS,CTCP Chứng khoán Tiên Phong
SD5,CTCP Sông Đà 5
TCT,CTCP Cáp treo Núi Bà Tây Ninh
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
SVT,CTCP Công nghệ Sài Gòn Viễn Đông
STH,CTCP Phát hành Sách Thái Nguyên
GHC,CTCP Thủy điện Gia Lai
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
SDY,CTCP Xi măng Sông Đà Yaly
NCT,CTCP Dịch vụ Hàng hóa Nội Bài
VIT,CTCP Viglacera Tiên Sơn
L63,CTCP Lilama 69-3
TOW,CTCP Cấp nước Trà Nóc - Ô Môn
SD7,CTCP Sông Đà 7
CMC,CTCP Đầu tư CMC
MTS,CTCP Vật tư - TKV
VQC,CTCP Giám định - Vinacomin
FIR,CTCP Địa ốc First Real
GIC,CTCP VSC Green Logistics
BMK,CTCP Kỹ thuật nhiệt Mèo Đen
VUA,CTCP Chứng khoán Stanley Brothers
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
LTC,CTCP Điện nhẹ Viễn Thông
PTG,CTCP May Xuất khẩu Phan Thiết
VIB,Ngân hàng TMCP Quốc tế Việt Nam
NLG,CTCP Đầu tư Nam Long
KKC,CTCP Tập Đoàn Thành Thái
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
ATS,CTCP Tập đoàn Đầu tư ATS
GTT,CTCP Thuận Thảo
VE4,CTCP Xây dựng Điện VNECO4
SEP,CTCP Tổng Công ty Thương mại Quảng Trị
TAN,CTCP Cà phê Thuận An
CAT,CTCP Thủy sản Cà Mau
APG,CTCP Chứng khoán APG
FTM,CTCP Đầu tư và Phát triển Đức Quân
SCO,CTCP Công nghiệp Thủy sản
BEL,CTCP Điện tử Biên Hòa
HPP,CTCP Sơn Hải Phòng
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
CBS,CTCP Mía Đường Cao Bằng
VE9,CTCP Đầu tư và Xây dựng VNECO 9
NTT,CTCP Dệt - May Nha Trang
CMX,CTCP Camimex Group
RAL,CTCP Bóng đèn Phích nước Rạng Đông
LCC,CTCP Xi măng Hồng Phong
SFG,CTCP Phân Bón Miền Nam
TVS,CTCP Chứng khoán Thiên Việt
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
TTN,CTCP Công nghệ và Truyền thông Việt Nam
CEN,CTCP CENCON Việt Nam
TVT,Tổng Công ty Việt Thắng - CTCP
CDC,CTCP Chương Dương
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
TMG,CTCP Kim loại màu Thái Nguyên - Vimico
LMH,CTCP Quốc Tế Holding
BMS,CTCP Chứng khoán Bảo Minh
SFC,CTCP Nhiên liệu Sài Gòn
TSB,CTCP Ắc quy Tia Sáng
NET,CTCP Bột giặt NET
DDV,CTCP DAP - VINACHEM
HOM,CTCP Xi măng VICEM Hoàng Mai
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
TOT,CTCP Transimex Logistics
MST,CTCP Đầu tư MST
PCG,CTCP Đầu tư Phát triển Gas Đô thị
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
BTB,CTCP Bia Hà Nội - Thái Bình
LG9,CTCP Cơ giới và Xây lắp Số 9
BSH,CTCP Bia Sài Gòn - Hà Nội
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar)
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
TVD,CTCP Than Vàng Danh - Vinacomin
QNT,CTCP Tư vấn Phát triển Quảng Nam
CCS,CTCP Chíp Sáng
ADC,CTCP Mỹ thuật và Truyền thông
APC,CTCP Chiếu xạ An Phú
VGC,Tổng Công ty Viglacera - CTCP
RYG,CTCP Sản xuất và Đầu tư Hoàng Gia
CBI,CTCP Gang thép Cao Bằng
PVL,CTCP Địa ốc Dầu khí
DC4,CTCP DICERA Holdings
COM,CTCP Vật tư - Xăng Dầu
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
STW,CTCP Cấp nước Sóc Trăng
ALC,CTCP Âu Lạc
BTG,CTCP Bao bì Tiền Giang
VC3,CTCP Tập đoàn Nam Mê Kông
L12,CTCP Licogi 12
GTS,CTCP Công trình Giao thông Sài Gòn
FCN,CTCP FECON
KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
HTL,CTCP Kỹ thuật và Ô tô Trường Long
GDT,CTCP Chế biến Gỗ Đức Thành
SJF,CTCP Đầu tư Sao Thái Dương
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam
THM,CTCP Tứ Hải Hà Nam
TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
TGG,CTCP The Golden Group
IMP,CTCP Dược phẩm Imexpharm
CJC,CTCP Cơ điện Miền Trung
MSN,CTCP Tập đoàn Masan
PV2,CTCP Đầu tư PV2
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô
OCB,Ngân hàng TMCP Phương Đông
MDC,CTCP Than Mông Dương - Vinacomin
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
DTT,CTCP Kỹ nghệ Đô Thành
CTG,Ngân hàng TMCP Công Thương Việt Nam
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
NQN,CTCP Nước sạch Quảng Ninh
UDC,CTCP Đầu tư Xây dựng UDCons
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP
VE8,CTCP Xây dựng Điện VNECO 8
LKW,CTCP Cấp nước Long Khánh
NTL,CTCP Phát triển Đô thị Từ Liêm
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
DTD,CTCP Đầu tư Phát triển Thành Đạt
BRC,CTCP Cao su Bến Thành
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
KGM,CTCP Xuất nhập khẩu Kiên Giang
FOC,CTCP Dịch vụ Trực tuyến FPT
